;item_title_container_class;item_price_container_class
0;Стиральная машина Renova WS-30EТ;8 290₽
1;Стиральная машина Straus XPB55-655SA;11 290₽
2;Стиральная машина Straus XPB68-107S;13 790₽
3;Стиральная машина Straus XPB70-107SD;13 890₽
4;Стиральная машина Straus XPB70-2670SA;14 490₽
5;Стиральная машина Renova WS-40PET;15 290₽
6;Стиральная машина OPTIMA МСП-110М;16 690₽
7;Стиральная машина OPTIMA МСП-110П;16 990₽
8;Стиральная машина Славда WS-70PET;17 090₽
9;Стиральная машина Renova WS-60PET;17 690₽
10;Стиральная машина Renova WS-70PT;17 990₽
11;Стиральная машина Straus XPB70-2771SD2;17 990₽
